Title,URL,Location,Price,Bedrooms,Type,County
5 Bed Villa with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-lavington-3738249,Lavington,125000000,5,Villa,Nairobi
7 Bed House with En Suite in Runda,https://www.buyrentkenya.com/listings/7-bedroom-house-for-sale-runda-3736700,Westlands Runda,150000000,7,House,Nairobi
4 Bed House with En Suite in Kileleshwa,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kileleshwa-3738220,Kileleshwa,23000000,4,House,Nairobi
4 Bed Townhouse with En Suite in Ngong Road,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-ngong-road-3738218,Ngong Road,35000000,4,Townhouse,Nairobi
4 Bed Townhouse with En Suite in Lavington,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3738205,Lavington,47000000,4,Townhouse,Nairobi
4 Bed House with En Suite at Gigiri,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-gigiri-3738190,Westlands Gigiri,73000000,4,House,Nairobi
5 Bed Townhouse with En Suite at Kitisuru,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-kitisuru-3738177,Westlands Kitisuru,120000000,5,Townhouse,Nairobi
5 Bed House with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-lavington-3738138,Lavington,90000000,5,House,Nairobi
3 Bed House with En Suite at Casurina Road,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-malindi-3604465,Malindi,12499000,3,House,Kilifi County
3 Bed Villa with En Suite at Mtwapa,https://www.buyrentkenya.com/listings/3-bedroom-villa-for-sale-mtwapa-3680467,Mtwapa,38500000,3,Villa,Kilifi County
4 Bed Townhouse with En Suite in Ruiru,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-ruiru-3730624,Ruiru,15000000,4,Townhouse,Kiambu County
5 Bed House with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-lavington-3738135,Lavington,56000000,5,House,Nairobi
5 Bed House with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-lavington-3738133,Lavington,120000000,5,House,Nairobi
3 Bed Townhouse with En Suite at Syokimao Estate,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-syokimau-3738113,Syokimau,10000000,3,Townhouse,Machakos County
5 Bed House with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-lavington-3738132,Lavington,95000000,5,House,Nairobi
5 Bed House with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-lavington-3738130,Lavington,63000000,5,House,Nairobi
4 Bed House with En Suite at Lavington,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-lavington-3738110,Lavington,120000000,4,House,Nairobi
4 Bed Townhouse with En Suite at Baraka Estate,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-brookside-3738091,Westlands Brookside,36000000,4,Townhouse,Nairobi
5 Bed Villa with En Suite at Karen,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-karen-3738105,Karen,135000000,5,Villa,Nairobi
3 Bed House with En Suite at Kitengela,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kitengela-3673333,Kitengela,7500000,3,House,Kajiado County
5 Bed House with En Suite at Loresho,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-loresho-3738080,Westlands Loresho,150000000,5,House,Nairobi
4 Bed House with Backup Generator in Kiambu Road,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kiambu-road-3728615,Kiambu Road,24500000,4,House,Nairobi
3 Bed House with Garden in Kitisuru,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kitisuru-3730219,Westlands Kitisuru,12000000,3,House,Nairobi
4 Bed Villa with En Suite at Muigai,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-kitengela-3738047,Kitengela,15000000,4,Villa,Kajiado County
4 Bed Townhouse with En Suite in Parklands,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-parklands-3738043,Westlands Parklands,38000000,4,Townhouse,Nairobi
4 Bed Villa with En Suite in Kiambu Road,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-kiambu-road-3733747,Kiambu Road,40000000,4,Villa,Nairobi
4 Bed Villa with En Suite at Muthithi,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-kiambu-road-3737971,Kiambu Road,27000000,4,Villa,Nairobi
9 Bed House with En Suite at Lavington,https://www.buyrentkenya.com/listings/9-bedroom-house-for-sale-lavington-3737709,Lavington,350000000,9,House,Nairobi
3 Bed House with Garden in Kyuna,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kyuna-3737590,Westlands Kyuna,115000000,3,House,Nairobi
5 Bed Villa with En Suite in Nyari,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-nyari-3737550,Westlands Nyari,130000000,5,Villa,Nairobi
6 Bed House with Staff Quarters in Kitisuru,https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-kitisuru-3737534,Westlands Kitisuru,110000000,6,House,Nairobi
5 Bed Villa with Garden in Spring Valley,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-spring-valley-3737511,Westlands Spring Valley,90000000,5,Villa,Nairobi
4 Bed House with En Suite at Karen,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3737572,Karen,65000000,4,House,Nairobi
5 Bed Townhouse with En Suite at Kiambu Road,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-kiambu-town-4-3592055,Town,30000000,5,Townhouse,Kiambu County
4 Bed Townhouse with En Suite at Eastern Bypass,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kamakis-3729946,Ruiru Kamakis,24000000,4,Townhouse,Kiambu County
3 Bed Townhouse with En Suite at Mtwapa,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-nyali-area-3732322,Nyali Area,9000000,3,Townhouse,Mombasa
4 Bed Townhouse with En Suite at Kiambu Road,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kiambu-road-3737914,Kiambu Road,30000000,4,Townhouse,Nairobi
4 Bed Townhouse with Staff Quarters in Lavington,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3717509,Lavington,48000000,4,Townhouse,Nairobi
4 Bed House with En Suite in Runda,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-runda-3737830,Westlands Runda,75000000,4,House,Nairobi
4 Bed House with En Suite in Runda,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-runda-3737829,Westlands Runda,80000000,4,House,Nairobi
4 Bed House with En Suite in Runda,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-runda-3737818,Westlands Runda,300000000,4,House,Nairobi
6 Bed House with En Suite in Runda,https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-runda-3737814,Westlands Runda,155000000,6,House,Nairobi
5 Bed Townhouse with En Suite in Lavington,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3737815,Lavington,45000000,5,Townhouse,Nairobi
5 Bed House with En Suite in Runda,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3737811,Westlands Runda,99000000,5,House,Nairobi
